1.3015,1.5341,1.1235,1.6948,2.698,2.327,2.3557,1.8,1.44,2.23,2.41,1.15,1.64,1.43,0.6,1.51,2.48,1.32,5.92,14.42,1.72,7.22,10.59,1.84,9.59,11.82,3.01,9.47,0.074287,-0.0078146,0.22143,-0.073793,-0.062196
1.4559,1.7234,1.2255,2.1829,3.0601,3.1594,2.9508,3.15,1.11,2.76,3.12,1.36,2.26,2.28,0.53,2.16,3.77,1.06,6.16,13.76,2.22,9.16,14.65,3.87,11.13,13.71,4.08,9.73,0.022803,-0.0098743,0.24321,-0.098742,-0.064258
1.3674,1.5021,1.1291,1.8404,2.8823,2.6088,2.4782,2.48,1.53,2.42,2.54,1.83,1.94,1.77,0.48,1.59,3.18,1.18,5.73,14.11,2.09,7.12,12.64,3.97,8.17,11.19,5.05,8.96,0.062406,-0.0092872,0.199,-0.12177,-0.058851
1.4279,1.6088,1.2144,1.8954,2.6777,2.6855,2.6006,2.3,1.12,2.03,2.17,1.4,1.79,2.24,0.59,1.76,3.13,1.09,4.48,13.1,1.74,7.73,11.85,3.03,7.61,11.07,3.33,8.12,0.040067,-0.020017,0.19809,-0.081339,-0.053721
1.4794,1.2424,1.1792,2.2576,3.7937,3.6452,3.4734,4.88,2.79,4.64,6.03,2.39,3.52,1.83,2.26,6,8.48,3.06,11.13,18.35,4.11,18.89,14.93,4.84,11.73,17.5,3.99,11.91,-0.21096,-0.019525,0.16048,0.20901,-0.1594
1.3369,1.5334,1.0873,1.7744,2.5174,2.0888,1.912,2.36,1.2,1.94,2.3,1.08,1.65,1.38,0.64,0.93,2.37,1.11,3.85,15.58,1.73,6.04,12.94,2.43,8.03,10.31,2.34,7.11,0.068409,-0.0025283,0.18228,-0.056617,-0.047127
1.4037,1.6183,1.1765,1.8443,2.3774,2.2075,2.1695,2.48,1.76,2.31,2.79,1.92,2.11,2.16,0.8,2.1,3,1.52,4.85,10.39,2.39,6.36,10.89,2.95,6.92,10.59,5.13,7.07,-0.01663,-0.012699,0.18919,-0.12544,-0.046697
1.3232,1.5391,1.1633,1.7041,2.3864,2.1432,1.9761,1.76,0.79,1.58,1.84,1.09,1.37,1.43,0.46,1.36,1.93,0.95,3.59,13.2,1.77,7.24,10.58,2.86,9.95,9.41,3.92,7.41,0.051022,-0.002413,0.16555,-0.096742,-0.04898
1.3982,1.5113,1.1562,1.7738,2.3233,2.1782,2.0869,2.25,1.18,2,2.15,1.11,1.79,1.41,0.53,1.2,2.48,1.05,4.61,9.28,2.09,9.8,9.22,2.06,9.03,8.86,2.68,7.83,0.0015434,-0.0074946,0.1559,-0.064844,-0.051432
1.3485,1.5368,1.1511,1.7482,2.6273,2.571,2.4591,1.82,0.87,1.53,1.63,0.89,1.25,1.23,0.44,1.1,1.73,0.92,3.17,10.34,1.32,8.08,8.35,2.49,7.91,8.14,3.44,6.94,0.072162,-0.005494,0.14169,-0.083032,-0.045547
