2.25,1.18,2,2.15,1.11,1.79,1.41,0.53,1.2,2.48,1.05,4.61,9.28,2.09,9.8,9.22,2.06,9.03,8.86,2.68,7.83
1.82,0.87,1.53,1.63,0.89,1.25,1.23,0.44,1.1,1.73,0.92,3.17,10.34,1.32,8.08,8.35,2.49,7.91,8.14,3.44,6.94
2.01,1.16,1.81,2.29,1.51,1.52,1.84,0.49,1.89,3.23,1.13,5.09,7.72,1.22,16.08,10.93,2.41,13.5,9.44,3.11,10.93
2.24,1.17,1.87,2.1,1.24,1.61,1.62,0.43,1.6,2.25,0.86,3.86,9.69,1.46,6.03,7.16,1.99,7.74,6.76,2.26,7.82
2.57,1.28,2.2,2.58,1.35,1.86,1.73,0.6,1.23,2.66,1.14,4.62,11.67,2.09,6.12,10.68,3.37,7.77,9.48,3.64,6.88
2.22,1.11,2.36,2.2,1.12,1.98,1.92,0.46,1.65,3.07,1.2,4.92,11.63,1.28,6.85,11.36,2.63,10.85,11.02,3.58,8.86
2.33,0.87,2.02,2.25,0.88,1.68,1.32,0.41,1.27,2.46,0.69,4.17,10.23,1.56,6.32,10.09,1.96,8.03,10.19,1.88,7.38
4.72,2.51,3.63,4.88,2.74,3.33,3.15,2.58,4.91,5.44,3.42,7.85,15.37,3.33,16.75,18,4.23,10.68,15.61,7.02,11.03
2.07,0.86,1.87,2.06,1.05,1.49,1.28,0.43,0.84,2.54,1.14,4.16,13.04,2.05,6.06,12.35,2.43,8.4,11.77,4.13,7.8
8.15,9.31,8.57,7.69,4.62,7.93,3.21,2.83,4.09,7.34,3.73,13.17,24.88,13.08,17.1,20.83,14.78,16.01,21.01,15.15,14.24
10.5,5.7,8.61,9.26,7.7,6.1,6.42,3.57,5.15,11.02,4.59,14.9,24.45,3.19,14.68,21.92,3.91,16.64,22.25,7,14.61
10.91,6.89,11.27,13.81,11.4,9.73,8.03,9.79,8.5,13.77,8.74,19.14,26.56,4.13,13.44,24.83,3.94,10.37,23.94,6.8,14.5
15.27,7.54,6.42,13.87,7.58,5.69,15.03,5.36,8.81,15.93,5.66,14.6,25.03,5.28,12.43,26.1,4.82,10.51,26.23,8.1,13.79
4.15,2.47,2.89,4.29,1.84,2.76,1.82,1.99,5.6,7.24,3.05,8.28,13.27,4.36,17.94,13.33,3.9,10.25,17.37,3.92,14.15
11.93,5.89,4.8,10.07,8.72,5.31,8.92,4.18,4.57,12.41,4.67,11.42,23.34,4.07,16.91,19.17,6.37,15.86,20.95,11.31,19.84
13.32,8.29,7.68,12.47,7.93,5.83,11.17,5.06,4.94,13.12,5.57,14.73,20.77,4.96,13.91,21.67,8.13,10.86,22.09,8.03,16.93
10.23,5.07,3.77,9.27,4.48,4.68,7.94,2.72,3.52,9.68,5.16,10.49,24.15,3.82,16.6,25,5.56,12.63,18.38,5.18,14.29
13.48,6.03,8.46,12.24,4.64,6.37,9.82,3.94,6.04,12.17,3.9,17.63,20.16,3.91,16.78,21.05,6.62,16.71,28.73,6.39,16.52
8.62,3.99,4.64,7.17,3.28,4.5,6.39,2.61,4.55,9.54,3.5,14.09,16.35,5.01,13.67,15.33,5.76,9.82,14.67,4.31,8.81
8.74,4.95,2.2,7.75,5.45,2.95,4.63,2.88,3.58,11.42,3.37,11.14,21.12,5.93,14.23,19.52,5.45,14.68,19.01,5.5,16.63
10.95,4.9,5.2,10.54,6.59,6.15,8.51,3.5,4.98,10.63,3.34,9.26,23.22,4.61,18.03,21.91,5.72,14.43,23.16,7,19.24
10.59,4.08,7.43,10.05,5.28,6.27,11.83,5.51,8.21,10.07,5.01,12.36,23.25,4.4,19.95,23.25,5.74,13.33,24.86,8.51,12.21
9.25,5.58,6.36,10.88,9.38,4.23,6.24,6.03,6.5,10.61,7.39,13.61,26.07,4.48,14.8,23.64,5.45,14.87,18.65,7.33,21.59
12.09,5.73,4.06,11.18,6.16,3.99,9.5,3.66,4,11.47,4.05,13.08,21.95,4.54,13.68,20.96,5.17,13.74,19.56,5.04,17.17
6.44,3.73,6.28,5.77,2.48,3.82,2.3,3.47,6.75,9.28,3.16,12.35,23.3,7.82,19.49,18.9,4.06,14.3,17.58,5.32,17
12.17,6.11,8.28,9.97,9.43,5.59,10.31,6.4,5.98,11.85,5.66,16.63,25.2,4.9,16.44,23.85,7.08,13.48,24.86,8.03,15.26
10.08,7.21,8.33,9.36,6.42,7.02,9.86,5.63,6.33,11.03,5.8,14.76,21.14,5.52,15.28,22.26,6.94,13.8,23.48,6.36,14.23
10.04,5.53,8.54,10.54,10.4,9.77,7.35,4.74,6.01,10.94,4.86,13.42,22.91,5.03,18.06,22.88,5.71,13.6,22.23,5.69,11.68
